"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"31",45.700001,49.799999,45.700001,48.700001,564300,48.700001,2015-11-09,"CRC",0.0518358974478597,0.0518358974478597
"32",47.799999,51.5,47.799999,49.299999,653100,49.299999,2015-11-10,"CRC",0.0123202872213493,0.0123202872213493
"33",48.5,50.200001,43.799999,44,486200,44,2015-11-11,"CRC",-0.107505052890569,-0.107505052890569
"34",42.299999,44.200001,38.799999,40.5,617600,40.5,2015-11-12,"CRC",-0.0795454545454546,-0.0795454545454546
"35",40.599998,41.200001,38.049999,38.5,443100,38.5,2015-11-13,"CRC",-0.0493827160493827,-0.0493827160493827
"36",38.599998,42.099998,38.200001,41.400002,535800,41.400002,2015-11-16,"CRC",0.0753247272727273,0.0753247272727273
"37",40.299999,42.099998,38.700001,41.099998,741700,41.099998,2015-11-17,"CRC",-0.00724647307988058,-0.00724647307988058
"38",42,42.799999,39.799999,42.299999,446100,42.299999,2015-11-18,"CRC",0.0291971060436549,0.0291971060436549
"39",41.400002,41.5,38,40.200001,735400,40.200001,2015-11-19,"CRC",-0.0496453439632469,-0.0496453439632469
"40",39.900002,41.400002,37.599998,38.200001,446700,38.200001,2015-11-20,"CRC",-0.0497512425435014,-0.0497512425435014
"41",38.599998,39.400002,37.299999,39,389800,39,2015-11-23,"CRC",0.020942381650723,0.020942381650723
"42",39.599998,43.200001,39,41.700001,604000,41.700001,2015-11-24,"CRC",0.069230794871795,0.069230794871795
"43",40.900002,42.900002,40.16,41.599998,465800,41.599998,2015-11-25,"CRC",-0.00239815341970862,-0.00239815341970862
"44",40.400002,41.900002,40.200001,41.700001,146200,41.700001,2015-11-27,"CRC",0.00240391838480369,0.00240391838480369
"45",41.299999,42.5,39.200001,41,623300,41,2015-11-30,"CRC",-0.0167865943216644,-0.0167865943216644
"46",41.299999,42,40,40.5,604300,40.5,2015-12-01,"CRC",-0.0121951219512195,-0.0121951219512195
"47",39.099998,39.799999,37.400002,37.599998,809800,37.599998,2015-12-02,"CRC",-0.071604987654321,-0.071604987654321
"48",38.400002,39.5,34.900002,36.5,732700,36.5,2015-12-03,"CRC",-0.0292552675135781,-0.0292552675135781
"49",35.799999,35.900002,32,32.400002,610900,32.400002,2015-12-04,"CRC",-0.112328712328767,-0.112328712328767
"50",29.799999,31.5,26,26.200001,914800,26.200001,2015-12-07,"CRC",-0.191358043743331,-0.191358043743331
"51",26.1,27.4,25,26.9,712000,26.9,2015-12-08,"CRC",0.0267175180642167,0.0267175180642167
"52",27.799999,30.5,26.799999,27.1,789000,27.1,2015-12-09,"CRC",0.00743494423791824,0.00743494423791824
"53",27.1,29.4,26.799999,28.5,561500,28.5,2015-12-10,"CRC",0.051660516605166,0.051660516605166
"54",27.5,28.4,26.700001,27.5,697900,27.5,2015-12-11,"CRC",-0.0350877192982456,-0.0350877192982456
"55",27.5,27.799999,24.4,25.200001,563500,25.200001,2015-12-14,"CRC",-0.0836363272727273,-0.0836363272727273
"56",25.5,29,25.5,26.1,1011900,26.1,2015-12-15,"CRC",0.0357142446145142,0.0357142446145142
"57",26.700001,26.799999,22.1,22.5,1400600,22.5,2015-12-16,"CRC",-0.137931034482759,-0.137931034482759
"58",23.5,23.9,17.6,20,2143800,20,2015-12-17,"CRC",-0.111111111111111,-0.111111111111111
"59",20,21.299999,18.799999,19.799999,1304400,19.799999,2015-12-18,"CRC",-0.01000005,-0.01000005
"60",20,20.200001,18.200001,19.1,621900,19.1,2015-12-21,"CRC",-0.0353534866340144,-0.0353534866340144
"61",19.4,21.1,19,20,725800,20,2015-12-22,"CRC",0.0471204188481675,0.0471204188481675
"62",20.6,24.200001,20.299999,23.700001,1248100,23.700001,2015-12-23,"CRC",0.18500005,0.18500005
"63",24.1,24.200001,21.4,23.4,343200,23.4,2015-12-24,"CRC",-0.01265826950809,-0.01265826950809
"64",21.9,22.1,20.4,21,408800,21,2015-12-28,"CRC",-0.102564102564103,-0.102564102564103
"65",21.700001,22.200001,20,20.5,826600,20.5,2015-12-29,"CRC",-0.0238095238095238,-0.0238095238095238
"66",20,21.200001,19.200001,19.9,629600,19.9,2015-12-30,"CRC",-0.0292682926829269,-0.0292682926829269
"67",19.4,23.950001,19.4,23.299999,919500,23.299999,2015-12-31,"CRC",0.170854221105528,0.170854221105528
"68",22.700001,23.299999,20,20.299999,736200,20.299999,2016-01-04,"CRC",-0.128755370332849,-0.128755370332849
"69",20.299999,20.700001,18.5,18.6,1170100,18.6,2016-01-05,"CRC",-0.0837437972287584,-0.0837437972287584
"70",18.5,18.9,17.799999,18.5,1123300,18.5,2016-01-06,"CRC",-0.00537634408602161,-0.00537634408602161
"71",18,18.1,15,15,1309700,15,2016-01-07,"CRC",-0.189189189189189,-0.189189189189189
"72",15.8,18.1,15.1,17.299999,1021200,17.299999,2016-01-08,"CRC",0.153333266666667,0.153333266666667
"73",17,17.299999,15.1,16,536800,16,2016-01-11,"CRC",-0.0751444552106622,-0.0751444552106622
"74",17.5,17.6,15.2,15.9,568000,15.9,2016-01-12,"CRC",-0.00624999999999998,-0.00624999999999998
"75",16.1,16.9,13,13.5,1332900,13.5,2016-01-13,"CRC",-0.150943396226415,-0.150943396226415
"76",13.3,15.2,13,14.7,1261000,14.7,2016-01-14,"CRC",0.0888888888888888,0.0888888888888888
"77",13.1,14,11.7,12.8,941700,12.8,2016-01-15,"CRC",-0.129251700680272,-0.129251700680272
"78",12.8,13,9.21,10.8,1433400,10.8,2016-01-19,"CRC",-0.15625,-0.15625
"79",9.75,10.4,8.9,9.68,1045700,9.68,2016-01-20,"CRC",-0.103703703703704,-0.103703703703704
"80",9.55,12.9,9.52,12.1,1182100,12.1,2016-01-21,"CRC",0.25,0.25
"81",14.3,15.7,12.8,15.6,1109900,15.6,2016-01-22,"CRC",0.289256198347107,0.289256198347107
"82",14.3,15.2,11.5,11.6,836000,11.6,2016-01-25,"CRC",-0.256410256410256,-0.256410256410256
"83",12.6,13.8,11.9,13.3,899000,13.3,2016-01-26,"CRC",0.146551724137931,0.146551724137931
"84",13,13.8,12.05,12.2,4343300,12.2,2016-01-27,"CRC",-0.0827067669172933,-0.0827067669172933
"85",13,13.4,12.7,12.9,1307800,12.9,2016-01-28,"CRC",0.057377049180328,0.057377049180328
"86",13.5,14.3,13,14.3,963200,14.3,2016-01-29,"CRC",0.108527131782946,0.108527131782946
"87",13.4,13.4,10.9,11,903100,11,2016-02-01,"CRC",-0.230769230769231,-0.230769230769231
"88",10.5,10.9,9.9,10.5,855700,10.5,2016-02-02,"CRC",-0.0454545454545454,-0.0454545454545454
"89",11.2,11.6,10,11.6,1202600,11.6,2016-02-03,"CRC",0.104761904761905,0.104761904761905
"90",11.7,12.4,11.3,12.2,760400,12.2,2016-02-04,"CRC",0.0517241379310345,0.0517241379310345
"91",12,12,10.3,10.3,740200,10.3,2016-02-05,"CRC",-0.155737704918033,-0.155737704918033
"92",9.85,10.1,9.2,9.2,920700,9.2,2016-02-08,"CRC",-0.106796116504855,-0.106796116504855
"93",9.2,9.3,8.01,8.52,806800,8.52,2016-02-09,"CRC",-0.0739130434782609,-0.0739130434782609
"94",8.8,8.8,8,8.3,564200,8.3,2016-02-10,"CRC",-0.0258215962441313,-0.0258215962441313
"95",8.18,8.18,5.64,6.1,1919300,6.1,2016-02-11,"CRC",-0.265060240963855,-0.265060240963855
"96",6.7,6.78,5.6,5.62,1442400,5.62,2016-02-12,"CRC",-0.0786885245901638,-0.0786885245901638
"97",6.49,6.75,5.02,5.1,1146500,5.1,2016-02-16,"CRC",-0.0925266903914591,-0.0925266903914591
"98",5.5,5.5,4.8,5.15,1611200,5.15,2016-02-17,"CRC",0.00980392156862764,0.00980392156862764
"99",5.5,5.5,3.8,3.8,1804300,3.8,2016-02-18,"CRC",-0.262135922330097,-0.262135922330097
"100",3.8,3.81,3.1,3.21,2670700,3.21,2016-02-19,"CRC",-0.155263157894737,-0.155263157894737
"101",3.79,4.4,3.33,4.39,2309100,4.39,2016-02-22,"CRC",0.367601246105919,0.367601246105919
"102",4.4,4.7,4.02,4.26,1205300,4.26,2016-02-23,"CRC",-0.0296127562642369,-0.0296127562642369
"103",4,4,2.85,3,6187300,3,2016-02-24,"CRC",-0.295774647887324,-0.295774647887324
"104",3.2,3.25,2.81,3.1,2344200,3.1,2016-02-25,"CRC",0.0333333333333334,0.0333333333333334
"105",3.35,5.2,3.2,4.9,2689900,4.9,2016-02-26,"CRC",0.580645161290323,0.580645161290323
"106",5,5.78,4.51,5.62,1958300,5.62,2016-02-29,"CRC",0.146938775510204,0.146938775510204
"107",6.7,10.6,6.7,8.41,3946400,8.41,2016-03-01,"CRC",0.49644128113879,0.49644128113879
"108",7.9,9.1,7.51,8.5,2122300,8.5,2016-03-02,"CRC",0.0107015457788346,0.0107015457788346
"109",7.91,12.9,7.91,11.9,2848500,11.9,2016-03-03,"CRC",0.4,0.4
"110",13.5,18.200001,13,17.6,3959800,17.6,2016-03-04,"CRC",0.478991596638656,0.478991596638656
"111",19.9,22,18.799999,20,3145700,20,2016-03-07,"CRC",0.136363636363636,0.136363636363636
"112",19.200001,19.4,13.8,14.3,2156900,14.3,2016-03-08,"CRC",-0.285,-0.285
"113",16.9,18.1,14.8,16.1,1673800,16.1,2016-03-09,"CRC",0.125874125874126,0.125874125874126
"114",15.9,16.5,14.5,15,1533000,15,2016-03-10,"CRC",-0.0683229813664598,-0.0683229813664598
"115",16.5,17.5,15.7,17.5,2067200,17.5,2016-03-11,"CRC",0.166666666666667,0.166666666666667
"116",16.6,16.9,15.1,15.5,751000,15.5,2016-03-14,"CRC",-0.114285714285714,-0.114285714285714
"117",14.8,16.200001,13.3,16,771300,16,2016-03-15,"CRC",0.032258064516129,0.032258064516129
"118",16.299999,17.700001,16,16.9,1119400,16.9,2016-03-16,"CRC",0.0562499999999999,0.0562499999999999
"119",17.700001,19,17.200001,17.799999,1312800,17.799999,2016-03-17,"CRC",0.0532543786982249,0.0532543786982249
