,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,5 Day Percent Change,Direction
27,57.119999,57.459999,56.799999,57.220001,240600,54.157459,10/26/2017,NFG,0.003859573,0.003859667,-0.14%,E
28,57.299999,57.779999,57.09,57.34,403700,54.271034,10/27/2017,NFG,0.002097126,0.002097151,-0.05%,E
29,57.029999,57.57,57.009998,57.34,486800,54.271034,10/30/2017,NFG,0,0,-0.07%,E
30,57.419998,58.139999,57.419998,58.049999,713200,54.943035,10/31/2017,NFG,0.012382314,0.012382264,0.37%,E
31,58.240002,58.459999,57.77,57.849998,354000,54.753735,11/1/2017,NFG,-0.003445387,-0.003445323,0.22%,E
32,58.080002,58.150002,56.75,56.919998,334800,53.873512,11/2/2017,NFG,-0.016076036,-0.016076059,-0.15%,E
33,56.299999,57.459999,56.150002,57.209999,461100,54.147991,11/3/2017,NFG,0.005094879,0.005094888,-0.05%,E
34,57.349998,58.099998,57.049999,57.52,487400,54.441406,11/6/2017,NFG,0.005418761,0.005418651,-0.18%,E
35,57.419998,58.209999,57.380001,58,415700,54.89571,11/7/2017,NFG,0.008344825,0.008344924,0.05%,E
36,57.860001,58.119999,57.32,57.799999,332500,54.706421,11/8/2017,NFG,-0.003448157,-0.003448293,0.31%,E
37,57.759998,58,57.080002,57.299999,341100,54.233173,11/9/2017,NFG,-0.008650685,-0.008650519,0.03%,E
38,57.189999,57.860001,56.830002,56.959999,441500,53.911377,11/10/2017,NFG,-0.005933564,-0.005933682,-0.19%,E
39,56.91,57.52,56.77,57.259998,288800,54.195313,11/13/2017,NFG,0.005266718,0.005266836,-0.26%,E
40,57.209999,57.540001,56.650002,57.330002,386200,54.26157,11/14/2017,NFG,0.00122256,0.001222564,-0.16%,E
41,57.130001,57.509998,56.790001,57.330002,349300,54.26157,11/15/2017,NFG,0,0,0.01%,E
42,57.48,58.32,57,57.959999,295200,54.857853,11/16/2017,NFG,0.010989048,0.010988958,0.35%,E
43,57.779999,58.099998,57.470001,58.049999,319700,54.943035,11/17/2017,NFG,0.001552777,0.001552795,0.27%,E
44,57.75,58.130001,57.509998,57.57,303100,54.488724,11/20/2017,NFG,-0.008268764,-0.008268717,0.08%,E
45,58.080002,58.299999,57.220001,57.25,321600,54.185848,11/21/2017,NFG,-0.005558508,-0.005558451,-0.03%,E
46,57.400002,57.790001,56.68,57.560001,364900,54.479263,11/22/2017,NFG,0.005414975,0.005414865,-0.14%,E
47,57.82,57.830002,57.369999,57.470001,84200,54.394077,11/24/2017,NFG,-0.001563641,-0.001563586,-0.20%,E
48,57.580002,57.689999,57.189999,57.57,229300,54.488724,11/27/2017,NFG,0.001740024,0.001740021,0.00%,E
49,57.669998,58.029999,57.57,57.91,241800,54.810532,11/28/2017,NFG,0.005905956,0.005905854,0.23%,E
50,57.82,58.639999,57.73,58.619999,269900,55.482525,11/29/2017,NFG,0.01226029,0.012260387,0.37%,E
51,58.720001,59.200001,58.439999,58.799999,266300,55.652885,11/30/2017,NFG,0.003070516,0.003070624,0.46%,E
52,58.900002,59.060001,58.099998,58.830002,217600,55.681286,12/1/2017,NFG,0.000510324,0.000510255,0.43%,E
53,59.049999,59.900002,59.009998,59.16,240100,55.993622,12/4/2017,NFG,0.005609353,0.005609349,0.43%,E
54,59.169998,59.32,58.099998,58.240002,238700,55.122868,12/5/2017,NFG,-0.01555095,-0.015551014,-0.13%,E
55,58.139999,58.139999,57.450001,57.57,228400,54.488724,12/6/2017,NFG,-0.011504191,-0.011504155,-0.42%,E
56,57.73,58.34,57.470001,57.73,318100,54.64016,12/7/2017,NFG,0.002779217,0.002779225,-0.38%,E
57,57.700001,57.98,57.330002,57.959999,200300,54.857853,12/8/2017,NFG,0.003984121,0.003984046,-0.41%,E
58,58.009998,58.34,57.619999,58.290001,196100,55.170189,12/11/2017,NFG,0.005693551,0.005693616,0.02%,E
59,58.279999,58.389999,57.32,57.360001,249800,54.28997,12/12/2017,NFG,-0.015954613,-0.015954709,-0.07%,E
60,57.419998,57.419998,56.459999,56.68,397600,53.646362,12/13/2017,NFG,-0.011855007,-0.011854968,-0.36%,E
61,56.630001,57.209999,56.02,56.09,400200,53.087944,12/14/2017,NFG,-0.010409243,-0.010409315,-0.65%,D
62,56.18,56.540001,55.610001,55.650002,1147700,52.671494,12/15/2017,NFG,-0.007844531,-0.0078445,-0.93%,D
63,55.959999,56.560001,55.880001,56.16,339700,53.154194,12/18/2017,NFG,0.00916435,0.009164384,-0.43%,E
64,56.16,56.240002,54.889999,54.889999,436800,51.95216,12/19/2017,NFG,-0.022614095,-0.022613978,-0.64%,D
65,54.73,55.139999,54.139999,54.779999,497100,51.848053,12/20/2017,NFG,-0.002003901,-0.002004008,-0.47%,E
66,54.5,54.950001,54.41,54.709999,387400,51.781799,12/21/2017,NFG,-0.001277849,-0.001277839,-0.34%,E
67,54.880001,55.189999,54.490002,54.790001,226500,51.857521,12/22/2017,NFG,0.001462328,0.001462292,-0.50%,E
68,54.599998,55.27,54.599998,54.849998,241300,51.914303,12/26/2017,NFG,0.001094962,0.001095036,-0.01%,E
